call_id,caller_number,receiver_number,timestamp,duration_seconds,call_type,cell_tower_id,tower_location,imei_caller,imei_receiver,source_case_id,flagged_suspicious
CDR001015,+91-98110-44501,+91-98765-32100,2025-03-09 03:11:00,460,VOICE,CT002,"Karol Bagh, Delhi",359931981275559,354498718886087,101,YES
CDR001016,+91-98110-44501,+91-98765-32100,2025-03-02 15:23:00,336,VOICE,CT003,"Okhla Phase II, Delhi",359595621798971,352967178673538,101,YES
CDR001017,+91-98110-44501,+91-98765-32100,2025-03-10 21:23:00,59,VOICE,CT005,"Meerut City, UP",352503576812551,359550128438223,101,NO
CDR001018,+91-98765-32100,+91-99300-67890,2025-03-30 16:49:00,367,VOICE,CT003,"Okhla Phase II, Delhi",353905759280560,358019315372954,102,YES
CDR001019,+91-98765-32100,+91-99300-67890,2025-04-01 03:41:00,0,SMS,CT006,"Andheri East, Mumbai",353127947929743,354952434658845,102,NO
CDR001020,+91-98765-32100,+91-99300-67890,2025-03-25 16:21:00,331,VOICE,CT001,"Rohini Sector 7, Delhi",351125499878070,352037797684918,102,YES
CDR001021,+91-98765-32100,+91-99300-67890,2025-03-27 10:04:00,66,VOICE,CT001,"Rohini Sector 7, Delhi",355185506430032,354768771157991,102,NO
CDR001022,+91-98765-32100,+91-99300-67890,2025-03-30 18:08:00,431,VOICE,CT008,"MG Road, Gurgaon",354347527832818,352705507142740,102,YES
CDR001023,+91-98765-32100,+91-99300-67890,2025-04-01 00:27:00,0,SMS,CT006,"Andheri East, Mumbai",359213743140796,352733647141185,102,NO
CDR001024,+91-98765-32100,+91-99300-67890,2025-03-25 15:25:00,157,VOICE,CT006,"Andheri East, Mumbai",354346602396672,358892158252516,102,NO
CDR001025,+91-98765-32100,+91-99300-67890,2025-03-26 11:27:00,266,VOICE,CT003,"Okhla Phase II, Delhi",352326815322748,352724645514915,102,NO
CDR001026,+91-98765-32100,+91-99300-67890,2025-03-25 12:41:00,415,VOICE,CT001,"Rohini Sector 7, Delhi",355161173462949,358147539881314,102,YES
CDR001027,+91-98765-32100,+91-99300-67890,2025-03-30 04:30:00,0,SMS,CT004,"Bandra West, Mumbai",352034668113652,357666496354440,102,NO
CDR001028,+91-98765-32100,+91-99300-67890,2025-03-25 00:24:00,0,SMS,CT005,"Meerut City, UP",358440108492786,353725099503481,102,NO
CDR001029,+91-98765-32100,+91-99300-67890,2025-03-27 00:18:00,326,VOICE,CT004,"Bandra West, Mumbai",352006369269690,359845385453546,102,YES
CDR001030,+91-98765-32100,+91-99300-67890,2025-04-03 19:54:00,290,VOICE,CT003,"Okhla Phase II, Delhi",352203388955030,352196556564609,102,NO
CDR001031,+91-98765-32100,+91-99300-67890,2025-04-01 04:55:00,0,SMS,CT004,"Bandra West, Mumbai",351698338142294,352441474267493,102,NO
CDR001032,+91-98765-32100,+91-99300-67890,2025-03-29 11:42:00,134,VOICE,CT006,"Andheri East, Mumbai",355197532457626,357963282792465,102,NO
CDR001033,+91-98765-32100,+91-99300-67890,2025-03-26 09:42:00,0,SMS,CT005,"Meerut City, UP",351163520327555,352760919825741,102,NO
CDR001034,+91-98765-32100,+91-99300-67890,2025-03-25 18:34:00,97,VOICE,CT004,"Bandra West, Mumbai",357141516584510,352210669092993,102,NO
CDR001035,+91-98765-32100,+91-99300-67890,2025-04-03 09:15:00,110,VOICE,CT006,"Andheri East, Mumbai",351139710736463,356268011903574,102,NO
CDR001036,+91-98765-32100,+91-99300-67890,2025-04-03 22:42:00,165,VOICE,CT002,"Karol Bagh, Delhi",353733975277719,355957561986265,102,NO
CDR001037,+91-98765-32100,+91-99300-67890,2025-03-31 10:13:00,381,VOICE,CT006,"Andheri East, Mumbai",359891716104934,355417324608608,102,YES
CDR001038,+91-98765-32100,+91-99300-67890,2025-04-03 15:58:00,354,VOICE,CT001,"Rohini Sector 7, Delhi",351774282445811,356866940554958,102,YES
CDR001039,+91-98110-99999,+91-98765-32100,2025-04-23 19:10:00,0,SMS,CT008,"MG Road, Gurgaon",351169912801200,352323330421832,102,NO
CDR001040,+91-98110-99999,+91-98765-32100,2025-04-30 10:44:00,457,VOICE,CT003,"Okhla Phase II, Delhi",353605123258594,353243818848407,102,YES
CDR001041,+91-98110-99999,+91-98765-32100,2025-04-21 10:19:00,213,VOICE,CT006,"Andheri East, Mumbai",357219554139843,355165817118389,102,NO
CDR001042,+91-98110-99999,+91-98765-32100,2025-04-30 05:10:00,0,SMS,CT003,"Okhla Phase II, Delhi",354152612451898,358245312684841,102,NO
CDR001043,+91-98110-99999,+91-98765-32100,2025-04-29 13:42:00,111,VOICE,CT004,"Bandra West, Mumbai",357726383052711,351682350760592,102,NO
CDR001044,+91-98110-99999,+91-98765-32100,2025-04-30 03:30:00,448,VOICE,CT004,"Bandra West, Mumbai",359099958073842,356370210891491,102,YES
CDR001045,+91-98110-99999,+91-98765-32100,2025-04-29 18:50:00,42,VOICE,CT004,"Bandra West, Mumbai",354400153952090,356774147444176,102,NO
CDR001046,+91-98110-99999,+91-98765-32100,2025-04-23 23:55:00,209,VOICE,CT002,"Karol Bagh, Delhi",359962056922549,356826278682407,102,NO
CDR001047,+91-98110-99999,+91-98765-32100,2025-05-01 00:01:00,121,VOICE,CT002,"Karol Bagh, Delhi",355672853768314,352907129792834,102,NO
CDR001048,+91-98110-99999,+91-98765-32100,2025-04-27 08:27:00,253,VOICE,CT006,"Andheri East, Mumbai",353033716076333,354343960983085,102,NO
CDR001049,+91-98110-99999,+91-98765-32100,2025-04-23 17:02:00,296,VOICE,CT007,"Salt Lake, Kolkata",354468918935363,358586476564054,102,NO
CDR001050,+91-98110-99999,+91-98765-32100,2025-04-21 17:42:00,369,VOICE,CT006,"Andheri East, Mumbai",353194075518867,359921936948112,102,YES
CDR001051,+91-98110-99999,+91-98765-32100,2025-04-24 07:42:00,236,VOICE,CT007,"Salt Lake, Kolkata",356204199882790,353240059144699,102,NO
CDR001052,+91-98110-99999,+91-98765-32100,2025-04-23 01:26:00,345,VOICE,CT007,"Salt Lake, Kolkata",356293843997145,351007875789648,102,YES
CDR001053,+91-98110-99999,+91-98765-32100,2025-04-24 05:18:00,0,SMS,CT004,"Bandra West, Mumbai",359179001781498,358780083229540,102,NO
CDR001054,+91-98110-99999,+91-98765-32100,2025-04-28 04:13:00,367,VOICE,CT008,"MG Road, Gurgaon",355991116192008,352642117129691,102,YES
CDR001055,+91-98110-99999,+91-98765-32100,2025-04-29 17:48:00,145,VOICE,CT004,"Bandra West, Mumbai",354503862507510,351430129610059,102,NO
CDR001056,+91-98110-99999,+91-98765-32100,2025-04-21 11:15:00,263,VOICE,CT008,"MG Road, Gurgaon",357754679408039,358028689830037,102,NO
CDR001057,+91-98110-99999,+91-98765-32100,2025-04-23 14:09:00,428,VOICE,CT001,"Rohini Sector 7, Delhi",354850116686227,359171252408595,102,YES
CDR001058,+91-98110-99999,+91-98765-32100,2025-04-21 12:35:00,263,VOICE,CT004,"Bandra West, Mumbai",359881528598830,359353116515888,102,NO
CDR001059,+91-98110-99999,+91-94221-11111,2025-05-27 15:53:00,0,SMS,CT005,"Meerut City, UP",355207464846825,358736415487151,103,NO
CDR001060,+91-98110-99999,+91-94221-11111,2025-05-25 19:45:00,169,VOICE,CT005,"Meerut City, UP",356623554644664,353431297567947,103,NO
CDR001061,+91-98110-99999,+91-94221-11111,2025-05-26 14:14:00,391,VOICE,CT007,"Salt Lake, Kolkata",352130495319468,358170082261076,103,YES
CDR001062,+91-98110-99999,+91-94221-11111,2025-05-28 12:34:00,0,SMS,CT008,"MG Road, Gurgaon",354638104728924,358390920989454,103,NO
CDR001063,+91-98110-99999,+91-94221-11111,2025-05-29 03:57:00,0,SMS,CT001,"Rohini Sector 7, Delhi",351105127827462,357188801950832,103,NO
CDR001064,+91-98110-99999,+91-94221-11111,2025-05-28 04:48:00,0,SMS,CT007,"Salt Lake, Kolkata",354882211538662,354858977561465,103,NO
CDR001065,+91-98110-99999,+91-94221-11111,2025-05-27 21:27:00,229,VOICE,CT008,"MG Road, Gurgaon",352473290184959,358540428193214,103,NO
CDR001066,+91-98110-99999,+91-94221-11111,2025-05-26 10:55:00,55,VOICE,CT008,"MG Road, Gurgaon",357666906606244,354720847647336,103,NO
CDR001067,+91-98110-99999,+91-94221-11111,2025-05-29 20:20:00,0,SMS,CT006,"Andheri East, Mumbai",355438511823921,352442399959248,103,NO
CDR001068,+91-98110-99999,+91-94221-11111,2025-05-30 00:01:00,144,VOICE,CT001,"Rohini Sector 7, Delhi",352209678157815,351707173901475,103,NO
CDR001069,+91-98110-99999,+91-94221-11111,2025-06-02 01:01:00,459,VOICE,CT004,"Bandra West, Mumbai",355196837525387,359328483701908,103,YES
CDR001070,+91-98110-99999,+91-94221-11111,2025-06-01 03:07:00,0,SMS,CT004,"Bandra West, Mumbai",355508424872688,357488694419229,103,NO
CDR001071,+91-98110-99999,+91-94221-11111,2025-05-26 18:38:00,189,VOICE,CT002,"Karol Bagh, Delhi",357605480054946,354490584409120,103,NO
CDR001072,+91-98110-99999,+91-94221-11111,2025-05-25 19:37:00,386,VOICE,CT004,"Bandra West, Mumbai",356307602390708,351724915898950,103,YES
CDR001073,+91-98110-99999,+91-94221-11111,2025-05-28 16:34:00,65,VOICE,CT007,"Salt Lake, Kolkata",351220508908844,358390992648653,103,NO
CDR001074,+91-98110-44501,+91-76543-21000,2025-06-08 14:23:00,252,VOICE,CT008,"MG Road, Gurgaon",355753027522713,359507362305763,105,NO
CDR001075,+91-98110-44501,+91-76543-21000,2025-06-08 23:27:00,466,VOICE,CT005,"Meerut City, UP",352524432593212,355288313541261,105,YES
CDR001076,+91-98110-44501,+91-76543-21000,2025-06-12 00:29:00,44,VOICE,CT007,"Salt Lake, Kolkata",354196851593446,354730125623965,105,NO
CDR001077,+91-98110-44501,+91-76543-21000,2025-06-07 18:51:00,173,VOICE,CT005,"Meerut City, UP",354362736323263,355243795393319,105,NO
CDR001078,+91-98110-44501,+91-76543-21000,2025-06-11 16:26:00,383,VOICE,CT008,"MG Road, Gurgaon",359635941604803,352636456599029,105,YES
CDR001079,+91-98110-44501,+91-76543-21000,2025-06-07 03:14:00,186,VOICE,CT007,"Salt Lake, Kolkata",359325231550423,358483309456386,105,NO
CDR001080,+91-98110-44501,+91-76543-21000,2025-06-11 22:35:00,389,VOICE,CT006,"Andheri East, Mumbai",355765067552342,355420838283303,105,YES
CDR001081,+91-98110-44501,+91-76543-21000,2025-06-06 11:07:00,91,VOICE,CT004,"Bandra West, Mumbai",354258549440264,354806163686472,105,NO
CDR001082,+91-98110-44501,+91-76543-21000,2025-06-11 21:30:00,81,VOICE,CT005,"Meerut City, UP",354418075111911,354999886921446,105,NO
CDR001083,+91-98110-44501,+91-76543-21000,2025-06-07 20:11:00,392,VOICE,CT005,"Meerut City, UP",353227087152081,351800042075259,105,YES
CDR001084,+91-98110-44501,+91-76543-21000,2025-06-04 13:35:00,356,VOICE,CT005,"Meerut City, UP",352805994572272,351218496667539,105,YES
CDR001085,+91-98110-44501,+91-76543-21000,2025-06-10 02:18:00,0,SMS,CT008,"MG Road, Gurgaon",356993371177023,355441216845401,105,NO
CDR001086,+91-98110-44501,+91-76543-21000,2025-06-14 00:55:00,450,VOICE,CT008,"MG Road, Gurgaon",358048321980643,352303487126097,105,YES
CDR001087,+91-98110-44501,+91-76543-21000,2025-06-10 03:40:00,106,VOICE,CT001,"Rohini Sector 7, Delhi",356347015779834,353084125110594,105,NO
CDR001088,+91-98110-44501,+91-76543-21000,2025-06-09 22:48:00,427,VOICE,CT007,"Salt Lake, Kolkata",357693803479115,356228876671470,105,YES
CDR001089,+91-98110-44501,+91-76543-21000,2025-06-13 04:37:00,321,VOICE,CT007,"Salt Lake, Kolkata",352059229246859,352746935381557,105,YES
CDR001090,+91-98110-44501,+91-76543-21000,2025-06-12 03:13:00,368,VOICE,CT004,"Bandra West, Mumbai",353762012668852,354054751960553,105,YES
CDR001091,+91-98110-44501,+91-76543-21000,2025-06-09 21:04:00,239,VOICE,CT003,"Okhla Phase II, Delhi",359266067477154,351572481599504,105,NO
CDR001092,+91-98110-44501,+91-76543-21000,2025-06-06 11:18:00,0,SMS,CT005,"Meerut City, UP",358478387689394,352254741350632,105,NO
CDR001093,+91-98110-44501,+91-76543-21000,2025-06-04 15:10:00,254,VOICE,CT005,"Meerut City, UP",359242576335907,356350192132982,105,NO
CDR001094,+91-98110-44501,+91-76543-21000,2025-06-11 11:25:00,0,SMS,CT005,"Meerut City, UP",352414924400409,351702648217158,105,NO
CDR001095,+91-99300-67890,+91-76543-21000,2025-06-27 10:38:00,76,VOICE,CT005,"Meerut City, UP",355740876904871,351706849598507,105,NO
CDR001096,+91-99300-67890,+91-76543-21000,2025-07-02 03:48:00,0,SMS,CT003,"Okhla Phase II, Delhi",354192355374329,359653561289564,105,NO
CDR001097,+91-99300-67890,+91-76543-21000,2025-06-24 23:30:00,0,SMS,CT006,"Andheri East, Mumbai",356649313542910,352841124204212,105,NO
CDR001098,+91-99300-67890,+91-76543-21000,2025-07-03 03:10:00,0,SMS,CT006,"Andheri East, Mumbai",359717467949323,358047805940798,105,NO
CDR001099,+91-99300-67890,+91-76543-21000,2025-07-02 16:48:00,0,SMS,CT001,"Rohini Sector 7, Delhi",356532296091173,356687620744706,105,NO
CDR001100,+91-99300-67890,+91-76543-21000,2025-06-25 05:49:00,366,VOICE,CT007,"Salt Lake, Kolkata",358269068838141,354298767688102,105,YES
CDR001101,+91-99300-67890,+91-76543-21000,2025-06-29 12:23:00,0,SMS,CT008,"MG Road, Gurgaon",351909502233968,355695273530516,105,NO
CDR001102,+91-99300-67890,+91-76543-21000,2025-06-29 20:08:00,0,SMS,CT005,"Meerut City, UP",353136680567437,355212500976436,105,NO
CDR001103,+91-99300-67890,+91-76543-21000,2025-07-01 13:10:00,312,VOICE,CT005,"Meerut City, UP",352638134846457,359117975501245,105,YES
CDR001104,+91-99300-67890,+91-76543-21000,2025-06-25 06:41:00,0,SMS,CT003,"Okhla Phase II, Delhi",359951965380718,355809098124110,105,NO
CDR001105,+91-99300-67890,+91-76543-21000,2025-06-28 10:53:00,0,SMS,CT008,"MG Road, Gurgaon",359032635659779,353544988304704,105,NO
CDR001106,+91-99300-67890,+91-76543-21000,2025-06-28 02:12:00,171,VOICE,CT003,"Okhla Phase II, Delhi",358300819109133,359932620228895,105,NO
CDR001107,+91-99300-67890,+91-76543-21000,2025-06-26 20:52:00,401,VOICE,CT001,"Rohini Sector 7, Delhi",358856133396834,359519233333939,105,YES
CDR001108,+91-99300-67890,+91-76543-21000,2025-06-27 16:21:00,0,SMS,CT007,"Salt Lake, Kolkata",356664773466066,354319449663319,105,NO
CDR001109,+91-99300-67890,+91-76543-21000,2025-07-01 10:15:00,468,VOICE,CT007,"Salt Lake, Kolkata",358227465930031,356596529850410,105,YES
CDR001110,+91-99300-67890,+91-76543-21000,2025-07-01 22:30:00,0,SMS,CT007,"Salt Lake, Kolkata",359710846963663,351652683951118,105,NO
CDR001111,+91-99300-67890,+91-76543-21000,2025-06-25 08:32:00,477,VOICE,CT006,"Andheri East, Mumbai",358747455451376,359039794128063,105,YES
CDR001112,+91-99300-67890,+91-76543-21000,2025-06-24 03:46:00,0,SMS,CT003,"Okhla Phase II, Delhi",353718585263795,359259543495100,105,NO
CDR001113,+91-99300-67890,+91-76543-21000,2025-07-02 08:16:00,0,SMS,CT006,"Andheri East, Mumbai",352411540300274,356780389317215,105,NO
CDR001114,+91-99300-67890,+91-76543-21000,2025-07-03 02:43:00,350,VOICE,CT007,"Salt Lake, Kolkata",359584606263358,355127757436333,105,YES
CDR001115,+91-99300-67890,+91-76543-21000,2025-06-30 17:43:00,412,VOICE,CT005,"Meerut City, UP",358632545061277,352735073748833,105,YES
CDR001116,+91-99300-67890,+91-76543-21000,2025-07-02 02:40:00,0,SMS,CT002,"Karol Bagh, Delhi",351807578179167,356158496752738,105,NO
CDR001117,+91-96000-12345,+91-81111-55555,2025-05-15 13:15:00,117,VOICE,CT007,"Salt Lake, Kolkata",352388026353770,355237771794539,104,NO
CDR001118,+91-96000-12345,+91-81111-55555,2025-05-19 07:58:00,266,VOICE,CT003,"Okhla Phase II, Delhi",355469505767365,355490214664577,104,NO
CDR001119,+91-96000-12345,+91-81111-55555,2025-05-21 02:00:00,376,VOICE,CT008,"MG Road, Gurgaon",353781191461650,358769913072912,104,YES
CDR001120,+91-96000-12345,+91-81111-55555,2025-05-17 16:37:00,0,SMS,CT005,"Meerut City, UP",355401011385071,354501695948928,104,NO
CDR001121,+91-96000-12345,+91-81111-55555,2025-05-18 02:54:00,151,VOICE,CT008,"MG Road, Gurgaon",356195618841656,355829243213437,104,NO
CDR001122,+91-96000-12345,+91-81111-55555,2025-05-14 02:36:00,0,SMS,CT001,"Rohini Sector 7, Delhi",356037579746851,357201082079657,104,NO
CDR001123,+91-96000-12345,+91-81111-55555,2025-05-16 08:40:00,377,VOICE,CT004,"Bandra West, Mumbai",356433302948126,358755803025524,104,YES
CDR001124,+91-96000-12345,+91-81111-55555,2025-05-14 08:37:00,76,VOICE,CT006,"Andheri East, Mumbai",356192227315290,354089866058016,104,NO
CDR001125,+91-96000-12345,+91-81111-55555,2025-05-16 03:08:00,455,VOICE,CT006,"Andheri East, Mumbai",355519012308314,359478025730814,104,YES
CDR001126,+91-96000-12345,+91-81111-55555,2025-05-22 14:18:00,269,VOICE,CT006,"Andheri East, Mumbai",352326985522395,354972700868318,104,NO
CDR001127,+91-96000-12345,+91-81111-55555,2025-05-23 04:43:00,76,VOICE,CT007,"Salt Lake, Kolkata",357944063103524,355651509361757,104,NO
CDR001128,+91-96000-12345,+91-81111-55555,2025-05-19 17:07:00,374,VOICE,CT008,"MG Road, Gurgaon",352904265979267,355113182103200,104,YES
CDR001129,+91-96000-12345,+91-81111-55555,2025-05-19 00:01:00,361,VOICE,CT006,"Andheri East, Mumbai",359168271261496,353050453017563,104,YES
CDR001130,+91-87654-32100,+91-94221-11111,2025-03-05 05:31:00,150,VOICE,CT002,"Karol Bagh, Delhi",357833875640590,357526003707718,103,NO
CDR001131,+91-87654-32100,+91-94221-11111,2025-03-09 03:47:00,242,VOICE,CT007,"Salt Lake, Kolkata",352742274623030,359610695145706,103,NO
CDR001132,+91-87654-32100,+91-94221-11111,2025-03-08 13:26:00,383,VOICE,CT005,"Meerut City, UP",354819817340220,358823039761871,103,YES
CDR001133,+91-87654-32100,+91-94221-11111,2025-03-04 12:54:00,381,VOICE,CT006,"Andheri East, Mumbai",357312076467872,358001056753141,103,YES
CDR001134,+91-87654-32100,+91-94221-11111,2025-03-04 22:12:00,0,SMS,CT002,"Karol Bagh, Delhi",351377832968774,355283514805026,103,NO
CDR001135,+91-87654-32100,+91-94221-11111,2025-03-03 08:50:00,454,VOICE,CT004,"Bandra West, Mumbai",355101134113817,355874800059555,103,YES
CDR001136,+91-87654-32100,+91-94221-11111,2025-03-11 03:09:00,438,VOICE,CT003,"Okhla Phase II, Delhi",352933484742631,353315098097457,103,YES
CDR001137,+91-87654-32100,+91-94221-11111,2025-03-02 03:22:00,38,VOICE,CT004,"Bandra West, Mumbai",355665082865198,353229313078707,103,NO
CDR001138,+91-87654-32100,+91-94221-11111,2025-03-09 21:26:00,273,VOICE,CT002,"Karol Bagh, Delhi",352918105190148,359862458880155,103,NO
CDR001139,+91-87654-32100,+91-94221-11111,2025-03-04 08:39:00,264,VOICE,CT001,"Rohini Sector 7, Delhi",352069580647685,359426719764926,103,NO
CDR001140,+91-87654-32100,+91-98110-44501,2025-06-21 07:06:00,0,SMS,CT008,"MG Road, Gurgaon",356665408855900,353609657766229,101,NO
CDR001141,+91-87654-32100,+91-98110-44501,2025-06-14 16:08:00,225,VOICE,CT005,"Meerut City, UP",356186304250534,359892530995603,101,NO
CDR001142,+91-87654-32100,+91-98110-44501,2025-06-20 10:27:00,466,VOICE,CT002,"Karol Bagh, Delhi",354783288481694,358943241666626,101,YES
CDR001143,+91-87654-32100,+91-98110-44501,2025-06-23 11:14:00,453,VOICE,CT007,"Salt Lake, Kolkata",358015629357321,356497966529455,101,YES
CDR001144,+91-87654-32100,+91-98110-44501,2025-06-18 13:20:00,108,VOICE,CT005,"Meerut City, UP",352178858004178,352636749176924,101,NO
CDR001145,+91-87654-32100,+91-98110-44501,2025-06-18 14:06:00,314,VOICE,CT006,"Andheri East, Mumbai",356800618261354,353150361333081,101,YES
CDR001146,+91-87654-32100,+91-98110-44501,2025-06-18 09:22:00,177,VOICE,CT007,"Salt Lake, Kolkata",356495841913300,352822576442385,101,NO
CDR001147,+91-87654-32100,+91-98110-44501,2025-06-20 03:32:00,366,VOICE,CT004,"Bandra West, Mumbai",354944850965432,352906309529903,101,YES
CDR001148,+91-87654-32100,+91-98110-44501,2025-06-17 17:54:00,420,VOICE,CT006,"Andheri East, Mumbai",351461952679740,355705967625190,101,YES
CDR001149,+91-87654-32100,+91-98110-44501,2025-06-14 07:11:00,203,VOICE,CT005,"Meerut City, UP",351108881816528,358050864606439,101,NO
CDR001150,+91-87654-32100,+91-98110-44501,2025-06-14 17:09:00,412,VOICE,CT001,"Rohini Sector 7, Delhi",354786144593569,358384664524491,101,YES
CDR001151,+91-87654-32100,+91-98110-44501,2025-06-18 20:21:00,189,VOICE,CT003,"Okhla Phase II, Delhi",356706815800168,353736120120736,101,NO
CDR001152,+91-87654-32100,+91-98110-44501,2025-06-15 16:48:00,169,VOICE,CT001,"Rohini Sector 7, Delhi",359544511081322,358776498177357,101,NO
CDR001153,+91-87654-32100,+91-98110-44501,2025-06-18 10:17:00,206,VOICE,CT004,"Bandra West, Mumbai",352951761617384,356427409007382,101,NO
CDR001154,+91-87654-32100,+91-98110-44501,2025-06-14 11:14:00,33,VOICE,CT007,"Salt Lake, Kolkata",356300867633911,354719206847073,101,NO
CDR001155,+91-87654-32100,+91-98110-44501,2025-06-22 04:08:00,197,VOICE,CT005,"Meerut City, UP",351133659315030,354089931135034,101,NO
CDR001156,+91-87654-32100,+91-98110-44501,2025-06-15 09:24:00,66,VOICE,CT004,"Bandra West, Mumbai",351746216385445,351328291063411,101,NO
CDR001157,+91-87654-32100,+91-98110-44501,2025-06-18 21:58:00,324,VOICE,CT002,"Karol Bagh, Delhi",358347143463689,353024173054770,101,YES
CDR001158,+91-87654-32100,+91-98110-44501,2025-06-18 07:01:00,440,VOICE,CT006,"Andheri East, Mumbai",352547742372041,355278242105528,101,YES
CDR001159,+91-87654-32100,+91-98110-44501,2025-06-18 15:37:00,232,VOICE,CT007,"Salt Lake, Kolkata",356458347339815,356973207748790,101,NO
CDR001160,+91-87654-32100,+91-98110-44501,2025-06-16 08:21:00,291,VOICE,CT003,"Okhla Phase II, Delhi",353008469406471,359970170644414,101,NO
CDR001161,+91-99300-67890,+91-81111-55555,2026-04-04 00:42:13,75,VOICE,CT006,"Andheri East, Mumbai",354050274056097,353691236811244,,NO
CDR001162,+91-98765-32100,+91-70011-12345,2026-07-22 19:32:13,0,SMS,CT008,"MG Road, Gurgaon",353655647595154,352200184642523,,NO
CDR001163,+91-98110-44501,+91-81111-55555,2026-07-29 11:35:13,0,SMS,CT002,"Karol Bagh, Delhi",357485644957878,356050158682634,,NO
CDR001164,+91-76543-21000,+91-87654-32100,2026-03-11 08:11:13,0,SMS,CT001,"Rohini Sector 7, Delhi",359819610669796,358924480406654,,NO
CDR001165,+91-98765-32100,+91-81111-55555,2025-12-25 05:18:13,122,VOICE,CT002,"Karol Bagh, Delhi",358730902418078,353794347836695,,NO
CDR001166,+91-94221-11111,+91-76543-21000,2025-12-31 18:14:13,0,SMS,CT007,"Salt Lake, Kolkata",352156783510637,352663568354585,,NO
CDR001167,+91-76543-21000,+91-94221-11111,2026-05-24 00:10:13,179,VOICE,CT005,"Meerut City, UP",356456110934764,353269426179012,,NO
CDR001168,+91-98765-32100,+91-94221-11111,2026-02-08 19:17:13,0,SMS,CT007,"Salt Lake, Kolkata",352642938349259,359943940426773,,NO
CDR001169,+91-81111-55555,+91-98110-44501,2026-03-07 03:54:13,0,SMS,CT006,"Andheri East, Mumbai",354377932812366,353723600104380,,NO
CDR001170,+91-98765-32100,+91-94221-11111,2026-05-26 16:41:13,162,VOICE,CT002,"Karol Bagh, Delhi",353711742363297,354178972645504,,NO
CDR001171,+91-70011-12345,+91-87654-32100,2026-06-09 19:19:13,0,SMS,CT001,"Rohini Sector 7, Delhi",355116506800494,355207066543220,,NO
CDR001172,+91-94221-11111,+91-87654-32100,2026-07-18 12:22:13,0,SMS,CT004,"Bandra West, Mumbai",359844977792090,358363839367892,,NO
CDR001173,+91-70011-12345,+91-99300-67890,2025-12-31 18:03:13,0,SMS,CT003,"Okhla Phase II, Delhi",357532104593614,353194089051315,,NO
CDR001174,+91-94221-11111,+91-98765-32100,2026-07-23 13:42:13,0,SMS,CT003,"Okhla Phase II, Delhi",358695855745611,354908035861079,,NO
CDR001175,+91-87654-32100,+91-81111-55555,2026-01-01 10:05:13,0,SMS,CT001,"Rohini Sector 7, Delhi",355146249593009,357593125292044,,NO
CDR001176,+91-99300-67890,+91-98110-44501,2026-05-25 01:41:13,19,VOICE,CT006,"Andheri East, Mumbai",359314325516637,359253662430412,,NO
